자치구별(1),자치구별(2),시가화면적별(1),시가화면적별(2),2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
서울시,노원구,행정구역면적 (㎢),소계,35.42,35.42,35.42,35.42,35.42,35.43,35.44,35.44,35.44,35.44,35.44,35.44,35.44,35.44,35.44,35.44,35.44
서울시,노원구,시가화면적 현황,시가화면적 (㎢),12.72,12.73,12.82,12.97,13.05,13.21,13.23,13.23,13.23,13.23,13.24,13.27,14.57,14.57,14.57,14.57,14.57
서울시,노원구,시가화면적 현황,시가화면적비율 (%),35.91,35.94,36.2,36.62,36.84,37.29,37.33,37.33,37.33,37.33,37.36,37.43,41.11,41.11,41.11,41.11,41.11
서울시,은평구,행정구역면적 (㎢),소계,29.72,29.71,29.71,29.71,29.71,29.69,29.69,29.69,29.69,29.7,29.7,29.7,29.7,29.7,29.71,29.71,29.71
서울시,은평구,시가화면적 현황,시가화면적 (㎢),14.1,14.71,15.2,15.26,15.26,15.23,15.23,15.22,15.2,15.2,15.2,15.2,15.88,15.89,15.89,15.89,15.89
서울시,은평구,시가화면적 현황,시가화면적비율 (%),47.45,49.52,51.14,51.35,51.35,51.29,51.28,51.26,51.2,51.2,51.19,51.19,53.46,53.49,53.48,53.48,53.47
서울시,서대문구,행정구역면적 (㎢),소계,17.61,17.61,17.61,17.61,17.61,17.6,17.6,17.6,17.6,17.61,17.61,17.61,17.61,17.61,17.63,17.62,17.63
서울시,서대문구,시가화면적 현황,시가화면적 (㎢),15.67,15.68,15.74,15.7,15.67,15.67,15.7,15.7,15.7,15.7,15.7,15.7,15.72,15.72,15.72,15.72,15.72
서울시,서대문구,시가화면적 현황,시가화면적비율 (%),88.97,89.02,89.37,89.16,89.02,89.03,89.22,89.21,89.21,89.2,89.19,89.2,89.3,89.29,89.2,89.21,89.2
서울시,마포구,행정구역면적 (㎢),소계,23.87,23.87,23.88,23.88,23.87,23.87,23.87,23.88,23.84,23.84,23.84,23.84,23.84,23.84,23.85,23.85,23.85
서울시,마포구,시가화면적 현황,시가화면적 (㎢),12.06,12.08,12.25,12.66,12.65,12.65,12.65,12.69,12.69,12.69,12.69,12.69,14.33,14.33,14.33,14.33,14.33
서울시,마포구,시가화면적 현황,시가화면적비율 (%),50.52,50.61,51.31,53.02,53,53,53,53.14,53.22,53.23,53.24,53.24,60.11,60.11,60.09,60.09,60.09
