"성별",2023.11,2023.11,2023.12,2023.12,2024.01,2024.01,2024.02,2024.02,2024.03,2024.03,2024.04,2024.04,2024.05,2024.05,2024.06,2024.06,2024.07,2024.07,2024.08,2024.08,2024.09,2024.09,2024.10,2024.10,2024.11,2024.11,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022,2023,2023
"성별",15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%),15세이상인구 (천명),고용률 (%)
"계",45476.1,63.1,45505,61.7,45513.5,61,45525.2,61.6,45529.2,62.4,45539,63,45542.8,63.5,45550.4,63.5,45589.5,63.3,45576.2,63.2,45589.5,63.3,45607.2,63.3,45628.4,63.2,36192.4,58.5,36608.1,59,37014.2,60.1,37410.4,59.4,37771.7,60,38119.5,59.9,38631.7,60,39179.8,60.1,39775.4,59.8,40301.3,58.8,40824.5,58.9,41387.1,59.3,41856.7,59.6,42303.8,59.8,42795.1,60.5,43239.3,60.5,43605.7,60.6,43930.5,60.8,44182.1,60.7,44503.7,60.9,44785,60.1,45080,60.5,45260.1,62.1,45407.1,62.6
"남자",22402.9,71.7,22424.1,70.6,22428.9,69.8,22435.2,70.2,22435.5,70.7,22440.2,71.1,22439.7,71.6,22442.4,71.6,22476.5,71.3,22458,71.3,22466.3,71.2,22478.8,71.1,22494.9,71.2,17525.5,70.8,17738.7,71.1,17952.8,72.3,18166.1,72.1,18360.8,72.3,18539.3,71.9,18825.5,71.6,19127.5,71.7,19442.2,71.2,19708,70.2,19978.3,70.3,20268.5,70.7,20500.6,71.1,20728.3,71.1,20988.9,71.7,21221.6,71.4,21400.8,71.2,21573.1,71.2,21698.6,70.8,21886.2,70.7,22035.4,69.8,22198.3,70,22272.5,71.5,22361.9,71.3
"여자",23073.2,54.8,23080.8,53.1,23084.6,52.4,23090,53.3,23093.7,54.3,23098.7,55.1,23103.2,55.6,23107.9,55.6,23112.9,55.6,23118.2,55.4,23123.2,55.5,23128.5,55.6,23133.5,55.3,18666.8,47,18869.5,47.7,19061.5,48.5,19244.3,47.4,19410.9,48.5,19580.2,48.6,19806.2,49,20052.3,49.1,20333.2,48.9,20593.3,47.8,20846.2,47.9,21118.5,48.3,21356.2,48.6,21575.5,48.9,21806.2,49.7,22017.7,50.1,22205,50.3,22357.3,50.8,22483.5,50.9,22617.5,51.6,22749.6,50.7,22881.7,51.2,22987.7,52.9,23045.2,54.1
